Model,best_params,RMSE,R2
LR,{},34.170070980374014,0.19916123401435995
SVR,"{'C': 1, 'gamma': 'auto'}",36.91752763399761,0.07172665195314247
Random Forest,{'n_estimators': 1000},30.609098131471264,0.32608039429052765
MLP,"{'early_stopping': False, 'hidden_layer_sizes': [100], 'learning_rate_init': 0.1}",34.15848058246152,0.19918850941537108
XGBoost,{'learning_rate': 0.3},32.72138941260723,0.20962694117007033
